user_id,date,electricity_kwh,amount
14,2025-08-23,155.07,775.3499999999999
14,2025-09-18,195.26,976.3
14,2025-10-23,91.57,457.84999999999997
14,2025-11-27,123.33,616.65
14,2025-12-19,160.14,800.6999999999999
15,2025-01-15,274.96,1374.8
15,2025-02-08,264.81,1324.05
15,2025-03-10,205.11,1025.5500000000002
15,2025-04-21,243.75,1218.75
15,2025-05-21,230.83,1154.15
15,2025-06-05,163.97,819.85
15,2025-07-05,267.16,1335.8000000000002
15,2025-08-03,226.27,1131.3500000000001
15,2025-09-19,141.17,705.8499999999999
15,2025-10-15,182.45,912.25
15,2025-11-01,175.6,878.0
15,2025-12-01,123.37,616.85
16,2025-01-08,289.64,1448.1999999999998
16,2025-02-17,136.94,684.7
16,2025-03-28,289.44,1447.2
16,2025-04-16,134.39,671.9499999999999
16,2025-05-11,208.83,1044.15
16,2025-06-02,218.34,1091.7
16,2025-07-06,259.16,1295.8000000000002
16,2025-08-08,122.47,612.35
16,2025-09-04,224.76,1123.8
16,2025-10-03,256.92,1284.6000000000001
16,2025-11-22,102.17,510.85
16,2025-12-06,170.34,851.7
17,2025-01-04,293.51,1467.55
17,2025-02-16,168.94,844.7
17,2025-03-02,171.99,859.95
17,2025-04-08,97.47,487.35
17,2025-05-15,222.97,1114.85
17,2025-06-10,176.19,880.95
17,2025-07-09,192.41,962.05
17,2025-08-09,174.0,870.0
17,2025-09-18,128.05,640.25
17,2025-10-28,296.64,1483.1999999999998
17,2025-11-10,151.33,756.6500000000001
17,2025-12-14,285.58,1427.8999999999999
18,2025-01-01,106.54,532.7
18,2025-02-21,286.85,1434.25
18,2025-03-06,140.7,703.5
18,2025-04-27,204.91,1024.55
18,2025-05-08,228.89,1144.4499999999998
18,2025-06-25,278.32,1391.6
18,2025-07-01,152.13,760.65
18,2025-08-16,253.93,1269.65
18,2025-09-22,271.79,1358.95
18,2025-10-07,169.12,845.6
18,2025-11-14,228.09,1140.45
18,2025-12-19,256.25,1281.25
19,2025-01-25,220.03,1100.15
19,2025-02-12,211.19,1055.95
19,2025-03-10,221.44,1107.2
19,2025-04-19,159.47,797.35
19,2025-05-19,124.45,622.25
19,2025-06-18,208.97,1044.85
19,2025-07-28,158.1,790.5
19,2025-08-01,193.45,967.25
19,2025-09-25,143.25,716.25
19,2025-10-01,117.11,585.55
19,2025-11-12,239.98,1199.8999999999999
19,2025-12-02,221.56,1107.8
20,2025-01-13,270.46,1352.3
20,2025-02-08,117.87,589.35
20,2025-03-07,200.74,1003.7
20,2025-04-21,237.0,1185.0
20,2025-05-22,222.6,1113.0
20,2025-06-28,240.61,1203.0500000000002
20,2025-07-27,179.52,897.6
20,2025-08-13,90.32,451.59999999999997
20,2025-09-10,208.21,1041.05
20,2025-10-25,274.9,1374.5
20,2025-11-18,172.13,860.65
20,2025-12-27,95.28,476.4
21,2025-01-16,104.75,523.75
21,2025-02-18,232.48,1162.3999999999999
21,2025-03-17,217.95,1089.75
21,2025-04-01,230.42,1152.1
21,2025-05-25,181.47,907.35
21,2025-06-01,277.65,1388.25
21,2025-07-21,208.8,1044.0
21,2025-08-16,92.52,462.59999999999997
21,2025-09-12,214.31,1071.55
21,2025-10-02,97.24,486.2
21,2025-11-02,90.87,454.35
21,2025-12-19,216.19,1080.95
22,2025-01-28,129.43,647.1500000000001
22,2025-02-10,286.77,1433.85
22,2025-03-15,162.93,814.6500000000001
22,2025-04-06,152.07,760.3499999999999
22,2025-05-21,133.5,667.5
22,2025-06-01,135.53,677.65
22,2025-07-12,97.91,489.54999999999995
22,2025-08-26,128.7,643.5
22,2025-09-15,228.41,1142.05
22,2025-10-26,144.97,724.85
22,2025-11-11,193.96,969.8000000000001
22,2025-12-03,211.44,1057.2
23,2025-01-04,146.42,732.0999999999999
23,2025-02-14,109.86,549.3
23,2025-03-18,171.25,856.25
23,2025-04-02,190.14,950.6999999999999
23,2025-05-17,221.7,1108.5
23,2025-06-15,264.08,1320.3999999999999
23,2025-07-12,158.24,791.2
23,2025-08-25,121.05,605.25
23,2025-09-12,226.13,1130.65
23,2025-10-21,145.91,729.55
23,2025-11-20,187.62,938.1
23,2025-12-10,233.14,1165.6999999999998
24,2025-01-22,145.13,725.65
24,2025-02-13,258.04,1290.2
24,2025-03-14,234.78,1173.9
24,2025-04-18,107.56,537.8
24,2025-05-07,149.29,746.4499999999999
24,2025-06-27,167.8,839.0
24,2025-07-04,266.56,1332.8
24,2025-08-16,118.6,593.0
24,2025-09-23,206.42,1032.1
24,2025-10-14,143.89,719.4499999999999
24,2025-11-20,143.58,717.9000000000001
24,2025-12-14,246.9,1234.5
25,2025-01-03,201.54,1007.6999999999999
25,2025-02-20,254.05,1270.25
25,2025-03-24,233.73,1168.6499999999999
25,2025-04-24,84.9,424.5
25,2025-05-02,271.62,1358.1
25,2025-06-20,115.25,576.25
25,2025-07-26,83.44,417.2
25,2025-08-17,138.14,690.6999999999999
25,2025-09-10,286.31,1431.55
25,2025-10-15,227.14,1135.6999999999998
25,2025-11-09,276.81,1384.05
25,2025-12-10,253.21,1266.05
26,2025-01-27,134.69,673.45
26,2025-02-22,137.47,687.35
26,2025-03-23,158.93,794.6500000000001
26,2025-04-27,210.71,1053.55
26,2025-05-04,124.68,623.4000000000001
26,2025-06-06,107.46,537.3
26,2025-07-22,249.09,1245.45
26,2025-08-24,217.65,1088.25
26,2025-09-23,210.88,1054.4
26,2025-10-28,115.53,577.65
26,2025-11-02,265.69,1328.45
26,2025-12-24,174.9,874.5
27,2025-01-02,122.64,613.2
27,2025-02-04,207.07,1035.35
27,2025-03-14,217.8,1089.0
27,2025-04-25,200.46,1002.3000000000001
27,2025-05-10,132.94,664.7
27,2025-06-02,125.13,625.65
27,2025-07-23,240.56,1202.8
27,2025-08-03,168.85,844.25
27,2025-09-04,297.37,1486.85
27,2025-10-04,277.27,1386.35
27,2025-11-05,117.88,589.4
27,2025-12-01,116.99,584.9499999999999
28,2025-01-16,179.68,898.4000000000001
28,2025-02-21,245.33,1226.65
28,2025-03-15,105.59,527.95
28,2025-04-16,167.95,839.75
28,2025-05-10,163.93,819.6500000000001
28,2025-06-28,112.53,562.65
28,2025-07-18,255.47,1277.35
28,2025-08-13,197.94,989.7
28,2025-09-18,157.82,789.0999999999999
28,2025-10-08,76.84,384.20000000000005
28,2025-11-16,137.75,688.75
28,2025-12-22,252.51,1262.55
29,2025-01-12,169.41,847.05
29,2025-02-28,106.23,531.15
29,2025-03-22,125.37,626.85
29,2025-04-12,137.06,685.3
29,2025-05-28,176.0,880.0
29,2025-06-16,143.99,719.95
29,2025-07-04,278.13,1390.65
29,2025-08-10,116.37,581.85
29,2025-09-18,272.66,1363.3000000000002
29,2025-10-04,132.79,663.9499999999999
29,2025-11-15,288.91,1444.5500000000002
29,2025-12-01,169.15,845.75
30,2025-01-16,276.28,1381.3999999999999
30,2025-02-03,99.49,497.45
30,2025-03-23,229.75,1148.75
30,2025-04-24,212.48,1062.3999999999999
30,2025-05-19,229.55,1147.75
30,2025-06-17,256.43,1282.15
30,2025-07-26,213.04,1065.2
30,2025-08-04,178.87,894.35
30,2025-09-24,120.99,604.9499999999999
30,2025-10-01,107.65,538.25
30,2025-11-24,231.09,1155.45
30,2025-12-13,156.74,783.7
31,2025-01-05,137.56,687.8
31,2025-02-01,246.89,1234.4499999999998
31,2025-03-23,177.79,888.9499999999999
31,2025-04-05,280.15,1400.75
31,2025-05-16,80.81,404.05
31,2025-06-12,124.38,621.9
31,2025-07-17,231.41,1157.05
31,2025-08-05,187.27,936.35
31,2025-09-05,247.57,1237.85
31,2025-10-02,162.12,810.6
31,2025-11-19,84.27,421.34999999999997
31,2025-12-05,120.59,602.95
32,2025-01-06,137.48,687.4
32,2025-02-16,158.81,794.05
32,2025-03-15,257.84,1289.1999999999998
32,2025-04-03,289.49,1447.45
32,2025-05-25,132.19,660.95
32,2025-06-01,300.8,1504.0
32,2025-07-02,85.17,425.85
32,2025-08-07,193.84,969.2
32,2025-09-04,257.93,1289.65
32,2025-10-04,250.52,1252.6000000000001
32,2025-11-19,136.62,683.1
32,2025-12-22,220.66,1103.3
33,2025-01-08,177.93,889.6500000000001
33,2025-02-21,221.6,1108.0
33,2025-03-25,289.91,1449.5500000000002
33,2025-04-16,194.78,973.9
33,2025-05-02,170.68,853.4000000000001
33,2025-06-14,280.22,1401.1000000000001
33,2025-07-13,124.74,623.6999999999999
33,2025-08-20,150.27,751.35
33,2025-09-26,107.78,538.9
33,2025-10-14,112.89,564.45
33,2025-11-01,194.23,971.15
33,2025-12-07,237.6,1188.0
34,2025-01-15,231.0,1155.0
34,2025-02-04,149.14,745.6999999999999
34,2025-03-21,173.37,866.85
34,2025-04-12,255.75,1278.75
34,2025-05-22,275.68,1378.4
34,2025-06-18,246.33,1231.65
34,2025-07-09,208.77,1043.8500000000001
34,2025-08-14,256.38,1281.9
34,2025-09-24,263.8,1319.0
34,2025-10-04,246.07,1230.35
34,2025-11-09,243.58,1217.9
34,2025-12-15,257.85,1289.25
35,2025-01-03,156.31,781.55
35,2025-02-25,214.85,1074.25
35,2025-03-21,107.15,535.75
35,2025-04-13,83.63,418.15
35,2025-05-19,182.79,913.9499999999999
35,2025-06-18,247.4,1237.0
35,2025-07-16,206.18,1030.9
35,2025-08-08,221.12,1105.6
35,2025-09-01,106.2,531.0
35,2025-10-16,124.68,623.4000000000001
35,2025-11-05,278.32,1391.6
35,2025-12-20,241.74,1208.7
36,2025-01-18,145.64,728.1999999999999
36,2025-02-11,137.74,688.7
36,2025-03-03,286.2,1431.0
36,2025-04-11,230.92,1154.6
36,2025-05-02,247.25,1236.25
36,2025-06-25,108.02,540.1
36,2025-07-10,257.05,1285.25
36,2025-08-13,204.59,1022.95
36,2025-09-14,165.03,825.15
36,2025-10-07,185.28,926.4
36,2025-11-28,229.96,1149.8
36,2025-12-01,214.87,1074.35
37,2025-01-20,216.33,1081.65
37,2025-02-14,289.66,1448.3000000000002
37,2025-03-25,121.34,606.7
37,2025-04-19,81.79,408.95000000000005
37,2025-05-11,238.6,1193.0
37,2025-06-24,249.04,1245.2
37,2025-07-28,149.38,746.9
37,2025-08-07,251.47,1257.35
37,2025-09-24,255.67,1278.35
37,2025-10-10,149.6,748.0
37,2025-11-17,170.27,851.35
37,2025-12-22,196.4,982.0
38,2025-01-02,174.31,871.55
38,2025-02-19,215.82,1079.1
38,2025-03-25,85.94,429.7
38,2025-04-27,241.15,1205.75
38,2025-05-21,92.08,460.4
38,2025-06-07,196.94,984.7
38,2025-07-09,112.63,563.15
38,2025-08-01,234.26,1171.3
38,2025-09-15,85.63,428.15
38,2025-10-26,164.43,822.1500000000001
38,2025-11-11,163.23,816.15
38,2025-12-25,263.58,1317.8999999999999
39,2025-01-06,179.79,898.9499999999999
39,2025-02-01,226.9,1134.5
39,2025-03-26,226.09,1130.45
39,2025-04-18,221.26,1106.3
39,2025-05-16,256.2,1281.0
39,2025-06-20,95.77,478.84999999999997
39,2025-07-09,94.67,473.35
39,2025-08-06,129.83,649.1500000000001
39,2025-09-16,104.72,523.6
39,2025-10-25,241.24,1206.2
39,2025-11-17,87.8,439.0
39,2025-12-20,135.08,675.4000000000001
40,2025-01-19,208.54,1042.7
40,2025-02-02,218.79,1093.95
40,2025-03-01,267.3,1336.5
40,2025-04-20,90.46,452.29999999999995
40,2025-05-05,242.61,1213.0500000000002
40,2025-06-26,80.45,402.25
40,2025-07-28,184.58,922.9000000000001
40,2025-08-08,135.59,677.95
40,2025-09-17,270.77,1353.85
40,2025-10-07,156.97,784.85
40,2025-11-28,296.16,1480.8000000000002
40,2025-12-04,138.36,691.8000000000001
41,2025-01-21,110.1,550.5
41,2025-02-02,136.59,682.95
41,2025-03-13,116.35,581.75
41,2025-04-20,140.64,703.1999999999999
41,2025-05-05,190.71,953.5500000000001
41,2025-06-01,297.04,1485.2
41,2025-07-04,186.58,932.9000000000001
41,2025-08-15,245.98,1229.8999999999999
41,2025-09-06,271.1,1355.5
41,2025-10-02,285.14,1425.6999999999998
41,2025-11-23,166.08,830.4000000000001
41,2025-12-07,235.67,1178.35
42,2025-01-20,246.03,1230.15
42,2025-02-27,129.88,649.4
42,2025-03-01,178.51,892.55
42,2025-04-28,118.58,592.9
42,2025-05-11,106.05,530.25
42,2025-06-19,253.66,1268.3
42,2025-07-03,112.13,560.65
42,2025-08-09,229.4,1147.0
42,2025-09-05,146.28,731.4
42,2025-10-25,113.71,568.55
42,2025-11-04,158.44,792.2
42,2025-12-20,182.84,914.2
43,2025-01-19,220.23,1101.1499999999999
43,2025-02-20,289.95,1449.75
43,2025-03-08,231.08,1155.4
43,2025-04-22,240.63,1203.15
43,2025-05-03,122.85,614.25
43,2025-06-18,190.87,954.35
43,2025-07-11,174.77,873.85
43,2025-08-18,286.98,1434.9
43,2025-09-07,116.14,580.7
43,2025-10-28,83.59,417.95000000000005
43,2025-11-06,130.24,651.2
43,2025-12-10,143.75,718.75
44,2025-01-09,138.3,691.5
44,2025-02-12,99.89,499.45
44,2025-03-05,230.51,1152.55
44,2025-04-25,286.31,1431.55
44,2025-05-17,277.61,1388.0500000000002
44,2025-06-14,147.01,735.05
44,2025-07-15,170.43,852.1500000000001
44,2025-08-08,122.53,612.65
44,2025-09-28,124.11,620.55
44,2025-10-21,299.65,1498.25
44,2025-11-14,197.12,985.6
44,2025-12-26,135.62,678.1
45,2025-01-06,237.81,1189.05
45,2025-02-05,233.41,1167.05
45,2025-03-15,88.45,442.25
45,2025-04-16,158.35,791.75
45,2025-05-05,102.53,512.65
45,2025-06-11,154.47,772.35
45,2025-07-05,99.05,495.25
45,2025-08-07,185.33,926.6500000000001
45,2025-09-24,155.55,777.75
45,2025-10-17,153.2,766.0
45,2025-11-27,91.14,455.7
45,2025-12-07,146.54,732.6999999999999
46,2025-01-05,145.47,727.35
46,2025-02-04,142.57,712.8499999999999
46,2025-03-21,202.55,1012.75
46,2025-04-26,106.22,531.1
46,2025-05-21,237.32,1186.6
46,2025-06-11,244.66,1223.3
46,2025-07-26,242.58,1212.9
46,2025-08-20,170.96,854.8000000000001
46,2025-09-10,264.7,1323.5
46,2025-10-28,294.08,1470.3999999999999
46,2025-11-07,263.81,1319.05
46,2025-12-16,274.87,1374.35
47,2025-01-10,262.47,1312.3500000000001
47,2025-02-28,84.09,420.45000000000005
47,2025-03-18,212.0,1060.0
47,2025-04-19,119.73,598.65
47,2025-05-17,298.25,1491.25
47,2025-06-08,236.03,1180.15
47,2025-07-10,119.86,599.3
47,2025-08-24,144.79,723.9499999999999
47,2025-09-07,181.71,908.5500000000001
47,2025-10-01,227.47,1137.35
47,2025-11-04,194.17,970.8499999999999
47,2025-12-05,155.69,778.45
48,2025-01-16,184.2,921.0
48,2025-02-22,94.6,473.0
48,2025-03-06,108.59,542.95
48,2025-04-18,107.86,539.3
48,2025-05-23,241.27,1206.3500000000001
48,2025-06-03,81.57,407.84999999999997
48,2025-07-01,90.4,452.0
48,2025-08-11,104.22,521.1
48,2025-09-15,226.03,1130.15
48,2025-10-09,228.7,1143.5
48,2025-11-22,272.02,1360.1
48,2025-12-27,284.73,1423.65
49,2025-01-01,259.87,1299.35
49,2025-02-08,273.39,1366.9499999999998
49,2025-03-14,242.5,1212.5
49,2025-04-22,190.03,950.15
49,2025-05-19,197.27,986.35
49,2025-06-28,136.49,682.45
49,2025-07-10,214.47,1072.35
49,2025-08-24,141.82,709.0999999999999
49,2025-09-09,188.18,940.9000000000001
49,2025-10-04,148.98,744.9
49,2025-11-15,184.9,924.5
49,2025-12-11,133.28,666.4
50,2025-01-01,273.86,1369.3000000000002
50,2025-02-22,87.42,437.1
50,2025-03-11,255.01,1275.05
50,2025-04-05,87.39,436.95
50,2025-05-14,227.9,1139.5
50,2025-06-19,201.19,1005.95
50,2025-07-06,218.39,1091.9499999999998
50,2025-08-26,202.86,1014.3000000000001
50,2025-09-18,86.54,432.70000000000005
50,2025-10-28,238.01,1190.05
50,2025-11-25,237.92,1189.6
50,2025-12-16,237.63,1188.15
51,2025-01-28,92.42,462.1
51,2025-02-10,168.15,840.75
51,2025-03-24,239.26,1196.3
51,2025-04-08,157.95,789.75
51,2025-05-03,106.91,534.55
51,2025-06-23,197.53,987.65
51,2025-07-27,116.19,580.95
51,2025-08-12,226.16,1130.8
51,2025-09-01,195.6,978.0
51,2025-10-12,241.73,1208.6499999999999
51,2025-11-24,131.7,658.5
51,2025-12-20,173.4,867.0
52,2025-01-14,145.25,726.25
52,2025-02-26,80.64,403.2
52,2025-03-12,109.09,545.45
52,2025-04-09,163.71,818.5500000000001
52,2025-05-27,141.98,709.9
52,2025-06-01,120.74,603.6999999999999
52,2025-07-15,287.09,1435.4499999999998
52,2025-08-20,98.75,493.75
52,2025-09-08,238.29,1191.45
52,2025-10-02,145.86,729.3000000000001
52,2025-11-01,167.37,836.85
52,2025-12-25,216.1,1080.5
53,2025-01-14,237.74,1188.7
53,2025-02-22,277.9,1389.5
53,2025-03-07,239.18,1195.9
53,2025-04-27,256.68,1283.4
53,2025-05-08,262.09,1310.4499999999998
53,2025-06-15,145.22,726.1
53,2025-07-08,179.08,895.4000000000001
53,2025-08-17,172.55,862.75
53,2025-09-27,90.06,450.3
53,2025-10-28,125.16,625.8
53,2025-11-01,117.21,586.05
53,2025-12-03,116.25,581.25
54,2025-01-16,202.2,1011.0
54,2025-02-14,129.42,647.0999999999999
54,2025-03-08,237.49,1187.45
54,2025-04-21,296.82,1484.1
54,2025-05-03,182.61,913.0500000000001
54,2025-06-27,98.99,494.95
54,2025-07-12,141.19,705.95
54,2025-08-23,135.61,678.0500000000001
54,2025-09-22,265.41,1327.0500000000002
54,2025-10-13,107.21,536.05
54,2025-11-16,159.27,796.35
54,2025-12-13,145.5,727.5
55,2025-01-04,113.92,569.6
55,2025-02-05,228.9,1144.5
55,2025-03-24,234.72,1173.6
55,2025-04-02,140.28,701.4
55,2025-05-09,255.7,1278.5
55,2025-06-09,102.77,513.85
55,2025-07-04,193.41,967.05
55,2025-08-17,88.72,443.6
55,2025-09-01,240.78,1203.9
55,2025-10-20,169.03,845.15
55,2025-11-22,119.1,595.5
55,2025-12-24,276.67,1383.3500000000001
56,2025-01-15,198.35,991.75
56,2025-02-21,275.24,1376.2
56,2025-03-16,171.41,857.05
56,2025-04-15,210.12,1050.6
56,2025-05-26,244.44,1222.2
56,2025-06-19,143.43,717.1500000000001
56,2025-07-26,257.05,1285.25
56,2025-08-13,220.31,1101.55
56,2025-09-28,193.66,968.3
56,2025-10-25,185.6,928.0
56,2025-11-09,106.12,530.6
56,2025-12-18,207.35,1036.75
57,2025-01-14,295.34,1476.6999999999998
57,2025-02-26,289.45,1447.25
57,2025-03-06,90.65,453.25
57,2025-04-24,268.81,1344.05
57,2025-05-25,108.83,544.15
57,2025-06-03,89.8,449.0
57,2025-07-22,130.51,652.55
57,2025-08-06,233.06,1165.3
57,2025-09-07,292.21,1461.05
57,2025-10-06,237.34,1186.7
57,2025-11-13,109.12,545.6
57,2025-12-23,242.51,1212.55
58,2025-01-18,287.74,1438.7
58,2025-02-27,193.71,968.5500000000001
58,2025-03-03,156.48,782.4
58,2025-04-24,181.6,908.0
58,2025-05-20,225.69,1128.45
58,2025-06-05,175.13,875.65
58,2025-07-17,242.69,1213.45
58,2025-08-02,137.55,687.75
58,2025-09-27,292.16,1460.8000000000002
58,2025-10-28,222.57,1112.85
58,2025-11-22,164.82,824.0999999999999
58,2025-12-13,88.99,444.95
59,2025-01-05,141.4,707.0
59,2025-02-18,104.76,523.8000000000001
59,2025-03-03,122.48,612.4
59,2025-04-17,298.96,1494.8
59,2025-05-15,287.09,1435.4499999999998
59,2025-06-27,88.54,442.70000000000005
59,2025-07-15,262.54,1312.7
59,2025-08-16,281.99,1409.95
59,2025-09-09,233.26,1166.3
59,2025-10-07,199.22,996.1
59,2025-11-28,242.23,1211.1499999999999
59,2025-12-10,248.63,1243.15
60,2025-01-27,149.77,748.85
60,2025-02-13,161.99,809.95
60,2025-03-03,249.04,1245.2
60,2025-04-01,122.85,614.25
60,2025-05-09,239.62,1198.1
60,2025-06-07,90.3,451.5
60,2025-07-19,285.35,1426.75
60,2025-08-25,112.5,562.5
60,2025-09-28,235.12,1175.6
60,2025-10-24,130.4,652.0
60,2025-11-28,98.02,490.09999999999997
60,2025-12-18,145.61,728.0500000000001
61,2025-01-19,175.99,879.95
61,2025-02-11,147.68,738.4000000000001
61,2025-03-09,214.71,1073.55
61,2025-04-21,97.67,488.35
61,2025-05-21,108.64,543.2
61,2025-06-20,232.48,1162.3999999999999
61,2025-07-03,87.78,438.9
61,2025-08-10,98.58,492.9
61,2025-09-08,102.67,513.35
61,2025-10-15,207.0,1035.0
61,2025-11-08,257.34,1286.6999999999998
61,2025-12-14,203.43,1017.1500000000001
62,2025-01-23,251.46,1257.3
62,2025-02-06,233.2,1166.0
62,2025-03-14,247.84,1239.2
62,2025-04-22,182.3,911.5
62,2025-05-06,223.87,1119.35
62,2025-06-14,160.78,803.9
62,2025-07-28,249.52,1247.6000000000001
62,2025-08-03,140.91,704.55
62,2025-09-20,156.96,784.8000000000001
62,2025-10-18,251.21,1256.05
62,2025-11-05,233.66,1168.3
62,2025-12-17,289.2,1446.0
63,2025-01-19,170.66,853.3
63,2025-02-04,105.01,525.0500000000001
63,2025-03-12,226.98,1134.8999999999999
63,2025-04-03,125.23,626.15
63,2025-05-07,158.62,793.1
63,2025-06-16,174.97,874.85
63,2025-07-06,129.11,645.5500000000001
63,2025-08-13,188.27,941.35
63,2025-09-17,276.44,1382.2
63,2025-10-23,277.87,1389.35
63,2025-11-07,247.89,1239.4499999999998
63,2025-12-09,172.25,861.25
64,2025-01-19,243.81,1219.05
64,2025-02-05,228.03,1140.15
